Designator,Mid X,Mid Y,Rotation,Layer
SW0,95.5,-178.75,0.0,top
SW1,78.0,-170.25,0.0,top
SW2,95.5,-170.25,0.0,top
SW3,112.5,-170.25,0.0,top
SW4,78.0,-162.0,0.0,top
SW5,95.5,-162.0,0.0,top
SW6,112.5,-161.75,0.0,top
SW7,78.0,-153.75,0.0,top
SW8,95.5,-153.75,0.0,top
SW9,112.5,-153.75,0.0,top
SWAC1,149.0,-153.75,0.0,top
SWCOS1,112.5,-136.5,0.0,top
SWDEL1,149.0,-161.75,0.0,top
SWDIV1,131.5,-161.25,0.0,top
SWDOT1,112.5,-178.75,0.0,top
SWDOWN1,112.5,-117.5,0.0,top
SWEXE1,149.0,-178.75,0.0,top
SWFRAC1,78.0,-119.75,0.0,top
SWIN1,78.0,-103.75,0.0,top
SWINT1,149.0,-118.75,0.0,top
SWLBRAC1,95.5,-145.25,0.0,top
SWLEFT1,101.0,-107.5,0.0,top
SWLN1,149.0,-127.75,0.0,top
SWLOG1,78.0,-127.75,0.0,top
SWMINUS1,131.5,-178.75,0.0,top
SWMULT1,131.5,-153.75,0.0,top
SWON1,149.0,-98.5,0.0,top
SWOUT1,78.0,-111.25,0.0,top
SWPI1,149.0,-170.25,0.0,top
SWPLUS1,131.5,-170.25,0.0,top
SWPOWER1,131.5,-127.75,0.0,top
SWRAD1,148.2,-108.5,270.0,top
SWRBRAC1,131.5,-145.0,0.0,top
SWRIGHT1,124.0,-107.5,0.0,top
SWSHIFT1,78.0,-95.0,0.0,top
SWSIN1,95.5,-136.5,0.0,top
SWSQRT1,95.25,-127.75,0.0,top
SWSQUARE1,112.5,-127.75,0.0,top
SWTAN1,131.5,-136.25,0.0,top
SWUP1,112.5,-98.25,0.0,top
SWX1,112.5,-145.25,0.0,top
U1,113.99,-59.5945,180.0,top
U4,82.35,-140.945,270.0,top
U5,144.65,-140.715,270.0,top
